metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,list_price,price,status_bucket,status_raw,input_date,closed_date,last_checked_date,status_changed
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,108 Powder River Drive,4,1496,205700,204900,sold,SLD,3/10/2026 10:23 AM,4/29/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6073 Croft Avenue,3,1422,204910,204910,sold,SLD,2/25/2025 1:43 PM,6/13/2025,2026-08-03,
"Little Rock, AR",Midland Estates,Lennar,Phase 1,Cornus Drive,5101 Cornus Drive,3,1243,208750,205000,sold,SLD,2/3/2026 12:42 PM,4/28/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Sig Cove,15 Sig Cove,4,1652,207025,205000,sold,SLD,6/9/2025 3:57 PM,9/10/2025,2026-08-03,
"Little Rock, AR",Midland Estates,Lennar,Phase 1,Sam Tillery Dr,2244 Sam Tillery Drive,3,1243,209750,205000,sold,SLD,2/3/2026 12:38 PM,4/28/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1368 Meadows Drive,3,1633,206785,205000,sold,SLD,12/14/2024 3:39 PM,2/14/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,115 Maddison Rachael,3,1373,205550,205550,for_sale,ACT,7/17/2026 2:30 PM,,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,95 Sarah Alyse Lane,4,1496,205560,205560,sold,SLD,6/11/2025 5:10 PM,7/25/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Leruss Boulevard,170 Leruss Boulevard,4,1459,205825,205825,sold,SLD,10/31/2024 9:23 PM,2/6/2025,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,1012 Raven Walk Drive,3,1301,205900,205900,sold,SLD,5/4/2026 9:59 AM,6/26/2026,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Rambling Brook Drive,1628 Rambling Brook Drive,3,1216,205900,205900,for_sale,ACT,6/10/2026 9:48 AM,,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Nona Ruth Lane,90 Nona Ruth Lane,4,1699,205900,205900,sold,SLD,4/8/2026 10:51 AM,7/29/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Cobblefield Cove,5017 Cobblefield Cove,3,1355,207675,206000,sold,SLD,12/30/2025 5:30 PM,4/28/2026,2026-08-03,
"Little Rock, AR",Midland Estates,Lennar,Phase 1,Sam Tillery Dr,2413 Sam Tillery Drive,3,1243,207750,206000,sold,SLD,2/3/2026 12:44 PM,4/27/2026,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,117 Powder River Drive,4,1630,206900,206900,withdrawn,WITH,1/5/2026 3:02 PM,,2026-08-03,
"Little Rock, AR",Cypress Bend,Lennar,,Lucy Lane,113 Lucy Lane,3,1051,206900,206900,for_sale,ACT,6/10/2026 10:12 AM,,2026-08-03,
"Little Rock, AR",White Oak Crossing,Lennar,,Fitzgerald Lane,8204 Fitzgerald Lane,4,1459,207000,207000,sold,SLD,3/28/2025 12:45 PM,6/27/2025,2026-08-03,
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,771 Gussy Lane,4,1459,221200,207000,sold,SLD,4/2/2026 1:21 PM,4/28/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,6641 Hollywood Avenue,3,1355,209005,207005,sold,SLD,12/30/2025 5:33 PM,3/27/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Buckshot Drive,21 Buckshot Drive,3,1633,207550,207550,sold,SLD,12/30/2025 1:29 PM,3/20/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1511 Meadows Drive,4,1470,212655,207655,sold,SLD,6/13/2025 10:52 AM,7/31/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ruger Cove,12 Ruger Cove,4,1613,207700,207700,sold,SLD,1/28/2026 2:15 PM,2/26/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Nona Ruth Lane,40 Nona Ruth Lane,4,1699,210600,207900,sold,SLD,4/8/2026 10:48 AM,5/28/2026,2026-08-03,
"Little Rock, AR",White Oak Crossing,Lennar,,Fitzgerald Lane,8304 Fitzgerald Lane,3,1402,209675,208000,sold,SLD,3/28/2025 12:41 PM,6/30/2025,2026-08-03,
"Little Rock, AR",The Vineyard,Lennar,,Cabernet Way,7 Cabernet Way,3,1290,208300,208300,for_sale,ACT,6/24/2026 1:14 PM,,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Buckshot Drive,16 Buckshot Drive,4,1652,209475,208475,sold,SLD,1/21/2026 10:03 AM,5/26/2026,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,1084 Raven Walk Drive,4,1459,210750,208750,sold,SLD,3/27/2026 1:12 PM,4/21/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,55 Sarah Alyse Lane,4,1699,208900,208900,sold,SLD,4/17/2025 5:27 PM,5/28/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Nona Ruth Lane,100 Nona Ruth Lane,4,1459,208900,208900,for_sale,ACT,6/23/2026 2:26 PM,,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,100 Sarah Alyse Lane,4,1613,208905,208905,sold,SLD,6/13/2025 9:54 AM,10/21/2025,2026-08-03,
"Little Rock, AR",Midland Estates,Lennar,Phase 1,Ted Craig Drive,3149 Ted Craig Drive,3,1243,211475,209000,sold,SLD,12/30/2025 2:04 PM,4/21/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Remington Lane,47 Remington Lane,4,1470,209155,209155,withdrawn,WITH,10/29/2025 1:21 PM,,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,,Powder River Drive,127 Powder River Drive,4,1613,209800,209200,sold,SLD,1/30/2026 1:41 PM,6/24/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,32 Ten Point Lane,4,1613,209400,209400,withdrawn,WITH,6/30/2025 2:59 PM,,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6080 Croft Avenue,4,1470,209420,209420,sold,SLD,4/11/2025 4:45 PM,7/18/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,60 Maddison Rachael,4,1699,211450,209500,sold,SLD,11/26/2025 1:07 PM,3/3/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,6656 Hollywood Avenue,3,1355,211550,209500,sold,SLD,3/10/2026 2:07 PM,5/14/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Leruss Boulevard,200 Leruss Boulevard,4,1699,209635,209635,sold,SLD,3/19/2025 4:37 PM,5/30/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Kyndall Lauren Lane,110 Kyndall Lauren Lane,4,1699,209800,209800,sold,SLD,12/27/2024 4:22 PM,4/25/2025,2026-08-03,
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,763 Gussy Lane,3,1523,210850,209850,sold,SLD,3/6/2026 10:34 AM,4/24/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Nona Ruth Lane,120 Nona Ruth Lane,3,1402,209900,209900,for_sale,ACT,7/23/2026 12:09 PM,,2026-08-03,
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,818 Gussy Lane,3,1355,211900,209900,sold,SLD,4/7/2026 3:28 PM,4/30/2026,2026-08-03,
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,806 Gussy Lane,3,1355,209900,209900,sold,SLD,4/7/2026 4:17 PM,6/24/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,35 Maddison Rachael,3,1402,209900,209900,sold,SLD,3/18/2026 1:25 PM,5/28/2026,2026-08-03,
"Little Rock, AR",Southfork Ranch,Lennar,I,King Ranch Drive,105 King Ranch Drive,3,1569,209900,209900,for_sale,ACT,7/17/2026 12:40 PM,,2026-08-03,
"Little Rock, AR",Cypress Bend,Lennar,,Lucy Lane,110 Lucy Lane,3,1051,209900,209900,for_sale,ACT,7/17/2026 11:02 AM,,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Leruss Boulevard,25 Leruss Boulevard,4,1470,209900,209900,withdrawn,WITH,8/25/2025 11:19 AM,,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,25 Sarah Alyse Lane,4,1699,209910,209910,sold,SLD,2/3/2025 4:30 PM,4/22/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6032 Croft Avenue,3,1422,209950,209950,sold,SLD,2/25/2025 1:39 PM,4/25/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,6657 Hollywood Avenue,4,1470,211000,210000,sold,SLD,4/8/2026 11:30 AM,5/15/2026,2026-08-03,
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,787 Gussy Lane,3,1523,213650,210000,sold,SLD,4/7/2026 3:43 PM,4/28/2026,2026-08-03,
"Little Rock, AR",Cypress Bend,Lennar,,Sofia Drive,107 Sofia Drive,3,1248,215900,210000,sold,SLD,3/5/2026 9:36 AM,5/28/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,135 Sarah Alyse Lane,4,1699,210000,210000,sold,SLD,6/27/2025 2:20 PM,8/11/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1360 Meadows Drive,4,1652,210150,210150,sold,SLD,12/14/2024 3:45 PM,1/31/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1487 Meadows Drive,3,1523,211555,210155,sold,SLD,7/2/2025 12:08 PM,8/25/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,230 Sarah Alyse Lane,4,1613,212545,210195,sold,SLD,9/2/2025 3:49 PM,12/8/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1479 Meadows Drive,3,1355,210680,210680,sold,SLD,7/2/2025 11:59 AM,8/25/2025,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Raven Walk Dr,1056 Raven Walk Drive,4,1459,210750,210750,sold,SLD,3/27/2026 12:57 PM,5/27/2026,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Rambling Brook Drive,1617 Rambling Brook Drive,3,1301,210900,210900,for_sale,ACT,7/23/2026 9:49 AM,,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Leruss Boulevard,220 Leruss Boulevard,4,1699,204955,211000,sold,SLD,7/2/2025 8:34 AM,10/14/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,170 Maddison Rachael,3,1402,208900,211100,sold,SLD,1/29/2026 2:03 PM,6/29/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,6649 Hollywood Avenue,3,1422,213000,211500,sold,SLD,1/23/2026 3:16 PM,5/20/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Sarah Alyse Lane,80 Sarah Alyse Lane,4,1613,211525,211525,sold,SLD,3/14/2025 1:13 PM,5/7/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6065 Croft Avenue,4,1470,214545,211545,sold,SLD,2/25/2025 1:31 PM,5/15/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1455 Meadows Drive,3,1422,213555,211555,sold,SLD,7/2/2025 11:54 AM,8/27/2025,2026-08-03,
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,759 Gussy Lane,4,1633,211600,211600,sold,SBL,4/1/2026 1:44 PM,3/31/2026,2026-08-03,
"Little Rock, AR",Cypress Bend,Lennar,,Sofia Drive,102 Sofia Drive,3,1248,212680,211680,sold,SLD,1/6/2026 12:44 PM,4/20/2026,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,38 Ten Point Lane,4,1652,217755,211755,sold,SLD,6/30/2025 3:25 PM,10/23/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ruger Cove,16 Ruger Cove,4,1652,211830,211830,sold,SLD,12/2/2025 2:38 PM,4/2/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6064 Croft Avenue,4,1470,211900,211900,sold,SLD,1/5/2025 8:18 PM,3/31/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Nona Ruth Lane,50 Nona Ruth Lane,4,1459,211900,211900,sold,SLD,3/18/2026 1:21 PM,5/28/2026,2026-08-03,
"Little Rock, AR",Cottage Walk,Lennar,Phase 1,Rambling Brook Drive,1620 Rambling Brook Drive,3,1355,211900,211900,for_sale,ACT,6/10/2026 9:43 AM,,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,105 Maddison Rachael,4,1459,211900,211900,for_sale,ACT,6/23/2026 2:09 PM,,2026-08-03,
