listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"13900 Ridgecrest Dr, Alexander, AR 72002",13900 Ridgecrest Dr,Alexander,AR,,forRent,3,1088,,1595,29,https://www.zillow.com/homedetails/13900-Ridgecrest-Dr-Alexander-AR-72002/49814165_zpid/,,100000,2026-08-31T00:00:00.000Z,Sold,2026-08-25T00:00:00.000Z,Listed for rent,,,,,,,,
"1267 Hamilton St, Conway, AR 72032",1267 Hamilton St,Conway,AR,,forRent,3,1056,,1158,35,https://www.zillow.com/homedetails/1267-Hamilton-St-Conway-AR-72032/234905_zpid/,,52000,2026-09-16T00:00:00.000Z,Price change,2026-09-14T00:00:00.000Z,Price change,2026-08-20T00:00:00.000Z,Listed for rent,2024-09-19T00:00:00.000Z,Listing removed,2024-09-17T00:00:00.000Z,Price change,2024-09-15T00:00:00.000Z,Price change
"3264 Sidell Rd, Benton, AR 72015",3264 Sidell Rd,Benton,AR,,forRent,4,1652,,1795,5,https://www.zillow.com/homedetails/3264-Sidell-Rd-Benton-AR-72015/465427229_zpid/,,,2026-09-18T00:00:00.000Z,Listed for rent,,,,,,,,,,
"2925 Gillis Dr, Benton, AR 72015",2925 Gillis Dr,Benton,AR,,forRent,4,2021,,2350,16,https://www.zillow.com/homedetails/2925-Gillis-Dr-Benton-AR-72015/2068772088_zpid/,,,2026-09-07T00:00:00.000Z,Listed for rent,2025-02-28T00:00:00.000Z,Listing removed,2025-02-07T00:00:00.000Z,Listed for rent,2021-10-21T00:00:00.000Z,Listing removed,2021-08-19T00:00:00.000Z,Listed for sale,,
"4955 Westin Park Dr, Conway, AR 72034",4955 Westin Park Dr,Conway,AR,,forRent,4,2275,,2300,3,https://www.zillow.com/homedetails/4955-Westin-Park-Dr-Conway-AR-72034/68021234_zpid/,,231500,2026-09-20T00:00:00.000Z,Listed for rent,2018-01-18T00:00:00.000Z,Sold,2017-11-16T00:00:00.000Z,Listed for sale,,,,,,
"2933 Gillis Dr, Benton, AR 72015",2933 Gillis Dr,Benton,AR,,forRent,5,2500,,2500,16,https://www.zillow.com/homedetails/2933-Gillis-Dr-Benton-AR-72015/443098023_zpid/,,,2026-09-07T00:00:00.000Z,Listed for rent,2025-02-28T00:00:00.000Z,Listing removed,2025-02-18T00:00:00.000Z,Listed for rent,,,,,,
"1845 Arden Ln, Conway, AR 72034",1845 Arden Ln,Conway,AR,,forRent,3,1205,,1575,9,https://www.zillow.com/homedetails/1845-Arden-Ln-Conway-AR-72034/71714882_zpid/,,139000,2026-08-30T00:00:00.000Z,Price change,2026-07-17T00:00:00.000Z,Listed for rent,2024-07-03T00:00:00.000Z,Listing removed,2024-06-25T00:00:00.000Z,Listed for rent,2023-02-27T00:00:00.000Z,Listing removed,2023-02-22T00:00:00.000Z,Listed for rent
"(Undisclosed Address), Conway, AR 72034",(Undisclosed Address),Conway,AR,,forRent,3,1689,,1750,23,https://www.zillow.com/homedetails/Conway-AR-72034/241235_zpid/,,131000,2026-09-01T00:00:00.000Z,Price change,2026-07-12T00:00:00.000Z,Listed for rent,2026-06-15T00:00:00.000Z,Listing removed,2026-05-25T00:00:00.000Z,Listed for rent,2026-05-16T00:00:00.000Z,Listing removed,2026-04-25T00:00:00.000Z,Listed for rent
"2906 Pamela, Benton, AR 72015",2906 Pamela,Benton,AR,,forRent,3,1372,,1495,30,https://www.zillow.com/homedetails/2906-Pamela-Benton-AR-72015/385308_zpid/,,,2026-08-25T00:00:00.000Z,Listed for rent,2025-08-04T00:00:00.000Z,Listing removed,2025-07-29T00:00:00.000Z,Price change,2025-07-08T00:00:00.000Z,Price change,2025-03-05T00:00:00.000Z,Listed for rent,2025-02-27T00:00:00.000Z,Listing removed
"1380 Sena Dr, Conway, AR 72034",1380 Sena Dr,Conway,AR,,forRent,4,1817,,1900,51,https://www.zillow.com/homedetails/1380-Sena-Dr-Conway-AR-72034/118483994_zpid/,,270000,2026-08-03T00:00:00.000Z,Listed for rent,2026-01-09T00:00:00.000Z,Listing removed,2025-12-18T00:00:00.000Z,Listed for rent,2024-11-06T00:00:00.000Z,Listing removed,2024-10-16T00:00:00.000Z,Listed for rent,2024-03-05T00:00:00.000Z,Listing removed
