"Picture Count","Status","List Price","Price","Subdivision","Address","Apx SQFT","Beds","Full Baths","Apx ACR","Input Date","Price Date","Price Per SQFT","Closed Date"
"2","ACT","$264,500","$264,500","CRESCENT GROVE PHASE 1","524 Chakka Loop","1934","5","2","0.13","5/5/2026 10:48 AM","5/5/2026","$136.76",
"2","ACT","$264,500","$264,500","CRESCENT GROVE PHASE 1","609 Chakka Loop","1934","5","2","0.13","6/11/2026 3:16 PM","6/11/2026","$136.76",
"24","SLD","$270,000","$265,000","WOLFSBRIDGE @ CABOT PH 1-A","61 Wolfsbridge Loop","1884","4","2","0.20","2/24/2026 3:30 PM","5/19/2026","$140.66","5/15/2026"
"14","SLD","$265,000","$265,000","KENSINGTON PLACE","4352 Sloan Drive","1796","4","2","0.21","1/22/2025 2:38 PM","5/16/2025","$147.55","7/21/2025"
"23","UCT","$265,000","$265,000","STONE CANYON ADDITION SUBDIVISON","160 Bighorn Trail","1867","5","2","0.11","6/5/2026 9:33 AM","6/5/2026","$141.94","7/17/2026"
"15","SLD","$265,000","$265,300","VINEYARD SUB PH II","110 E Fredonia Court","1858","4","2","0.15","2/26/2025 8:48 AM","6/23/2025","$142.79","6/18/2025"
"19","SLD","$259,000","$265,600","CYPRESS TRAIL SUBDIVISION","6813 Cypress Trail","1638","3","2","0.13","2/4/2025 2:15 PM","7/11/2025","$162.15","7/10/2025"
"26","PCHG","$266,000","$266,000","WOLFSBRIDGE @ CABOT PH 1-A","40 Wolfsbridge Loop","1858","4","2","0.15","6/18/2026 11:07 AM","8/3/2026","$143.16",
"12","SLD","$266,000","$266,000","KENSINGTON PLACE","3701 Wise Road","1796","4","2","0.24","7/9/2025 9:37 AM","9/4/2025","$148.11","11/14/2025"
"18","SLD","$272,500","$266,000","KENSINGTON PLACE","6325 Warwick Drive","1849","4","2","0.20","1/20/2026 5:03 PM","4/22/2026","$143.86","4/21/2026"
"24","SLD","$267,000","$266,150","KENSINGTON PLACE","6104 Meridian Drive","1796","4","2","0.20","1/10/2025 9:38 PM","6/2/2025","$148.19","5/29/2025"
"19","SLD","$269,000","$266,250","CYPRESS TRAIL SUBDIVISION","6801 Cypress Trail","1638","3","2","0.19","2/26/2025 2:45 PM","6/9/2025","$162.55","6/6/2025"
"12","SLD","$266,000","$266,475","CYPRESS TRAIL SUBDIVISION","10405 Leyland Road","1638","3","2","0.12","7/24/2025 9:41 AM","10/1/2025","$162.68","9/29/2025"
"1","SBL","$266,500","$266,500","VINEYARD SUB PH II","118 E Sunbelt Court","1753","4","2","0.25","10/27/2025 12:52 PM","10/27/2025","$152.03","10/27/2025"
"23","UCT","$267,000","$267,000","STONE CANYON ADDITION SUBDIVISON","185 Bighorn Trail","1867","5","2","0.12","6/5/2026 10:04 AM","6/5/2026","$143.01","7/17/2026"
"16","SLD","$271,500","$267,000","KENSINGTON PLACE","6312 Warwick Drive","1849","4","2","0.20","3/11/2026 1:28 PM","6/30/2026","$144.40","6/29/2026"
"14","EXP","$267,000","$267,000","THE VILLAS AT HOPE VALLEY PHASE 1","36 Kelton Lane","1884","4","2","0.32","7/24/2025 10:00 AM","7/24/2025","$141.72",
"15","SLD","$267,025","$267,025","VINEYARD SUB PH II","120 E Fredonia Court","1897","4","2","0.20","6/18/2025 3:45 PM","6/18/2025","$140.76","7/25/2025"
"23","WITH","$267,175","$267,175","THE VILLAS AT HOPE VALLEY PHASE 1","228 Alyece Lane","1884","4","2","0.24","12/28/2024 3:28 AM","12/28/2024","$141.81",
"23","SLD","$273,000","$267,480","KENSINGTON PLACE","4340 Sloan Drive","1824","4","2","0.21","1/10/2025 8:25 PM","3/26/2025","$146.64","3/25/2025"
"12","SLD","$266,000","$267,500","CYPRESS TRAIL SUBDIVISION","10501 Leyland Road","1638","3","2","0.12","6/23/2025 3:05 PM","9/30/2025","$163.31","9/26/2025"
"2","ACT","$267,500","$267,500","CRESCENT GROVE PHASE 1","521 Chakka Loop","1926","5","2","0.13","5/12/2026 3:55 PM","5/12/2026","$138.89",
"12","SLD","$266,000","$267,975","CYPRESS TRAIL SUBDIVISION","10409 Leyland Road","1638","3","2","0.12","2/13/2025 9:24 AM","9/29/2025","$163.60","9/26/2025"
"19","SLD","$269,000","$268,000","VINEYARD SUB PH II","106 E Fredonia Court","1897","4","2","0.15","2/25/2025 4:14 PM","6/20/2025","$141.28","6/18/2025"
