listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"1267 Hamilton St, Conway, AR 72032",1267 Hamilton St,forRent,,3,1056,,1233,20,https://www.zillow.com/homedetails/1267-Hamilton-St-Conway-AR-72032/234905_zpid/,,52000
"2400 SW Ednruance Way, Maumelle, AR 72113",2400 SW Ednruance Way,other,,,,,,,"https://www.zillow.com/b/2400-sw-ednruance-way-maumelle-ar/34.87126275998,-92.450398671503_ll/",,
"1930 College Ave, Conway, AR 72034",1930 College Ave,forRent,,3,1926,,3100,6,https://www.zillow.com/homedetails/1930-College-Ave-Conway-AR-72034/237634_zpid/,,160268
"1955 Bellingrath Gdns, Conway, AR 72034",1955 Bellingrath Gdns,forRent,,3,1752,,2000,7,https://www.zillow.com/homedetails/1955-Bellingrath-Gdns-Conway-AR-72034/119403911_zpid/,,199900
"20 Summer Breeze Rd, Conway, AR 72032",20 Summer Breeze Rd,forRent,,3,1592,,1600,3,https://www.zillow.com/homedetails/20-Summer-Breeze-Rd-Conway-AR-72032/2076495598_zpid/,,207000
"1405 Appalachain Dr, Conway, AR 72034",1405 Appalachain Dr,forRent,,3,1145,,1450,83,https://www.zillow.com/homedetails/1405-Appalachain-Dr-Conway-AR-72034/35730407_zpid/,,180500
"1425 Ola St, Conway, AR 72032",1425 Ola St,forRent,,3,1268,,3100,6,https://www.zillow.com/homedetails/1425-Ola-St-Conway-AR-72032/63265054_zpid/,,115000
"1155 Mimosa Dr, Conway, AR 72034",1155 Mimosa Dr,forRent,,3,1236,,1400,4,https://www.zillow.com/homedetails/1155-Mimosa-Dr-Conway-AR-72034/35730018_zpid/,,78000
"103 E Concord Rd, Mayflower, AR 72106",103 E Concord Rd,forRent,,3,1413,,1660,0,https://www.zillow.com/homedetails/103-E-Concord-Rd-Mayflower-AR-72106/463058000_zpid/,,
"2 S Hampton Cv, Conway, AR 72034",2 S Hampton Cv,forRent,,3,1680,,1700,15,https://www.zillow.com/homedetails/2-S-Hampton-Cv-Conway-AR-72034/234006_zpid/,,244000
"22 Marshall Rd N, Vilonia, AR 72173",22 Marshall Rd N,forRent,,3,1500,,1400,3,https://www.zillow.com/homedetails/22-Marshall-Rd-N-Vilonia-AR-72173/52392644_zpid/,,
"10 Harvest Ln, Conway, AR 72032",10 Harvest Ln,forRent,,3,1288,,1495,21,https://www.zillow.com/homedetails/10-Harvest-Ln-Conway-AR-72032/338960356_zpid/,,
"2004 Hairston Ave, Conway, AR 72034",2004 Hairston Ave,forRent,,3,1703,,2800,6,https://www.zillow.com/homedetails/2004-Hairston-Ave-Conway-AR-72034/444384959_zpid/,,
"2845 York Ln, Conway, AR 72034",2845 York Ln,forRent,,3,1600,,1595,11,https://www.zillow.com/homedetails/2845-York-Ln-Conway-AR-72034/63265218_zpid/,,245000
"17 Azalea Dr, Cabot, AR 72023",17 Azalea Dr,forRent,,3,1294,,1345,76,https://www.zillow.com/homedetails/17-Azalea-Dr-Cabot-AR-72023/52495110_zpid/,,174500
"26 Mustang Dr, Cabot, AR 72023",26 Mustang Dr,forRent,,3,1537,,1550,61,https://www.zillow.com/homedetails/26-Mustang-Dr-Cabot-AR-72023/63160976_zpid/,,310000
"1609 Moon Rd, Ward, AR 72176",1609 Moon Rd,forRent,,3,1026,,1095,8,https://www.zillow.com/homedetails/1609-Moon-Rd-Ward-AR-72176/99444948_zpid/,,125000
"15 Silverado Ct, Cabot, AR 72023",15 Silverado Ct,forRent,,3,1382,,1350,19,https://www.zillow.com/homedetails/15-Silverado-Ct-Cabot-AR-72023/35732243_zpid/,,150000
"314 Ray St, Cabot, AR 72023",314 Ray St,forRent,,3,1449,,1300,56,https://www.zillow.com/homedetails/314-Ray-St-Cabot-AR-72023/257086_zpid/,,700000
"59 Hickory Bend Dr, Cabot, AR 72023",59 Hickory Bend Dr,forRent,,3,2129,,2000,26,https://www.zillow.com/homedetails/59-Hickory-Bend-Dr-Cabot-AR-72023/67445626_zpid/,,207000
"16 Mustang Dr, Cabot, AR 72023",16 Mustang Dr,forRent,,3,1494,,1450,32,https://www.zillow.com/homedetails/16-Mustang-Dr-Cabot-AR-72023/63160974_zpid/,,2988
"53 Bent Tree Dr, Cabot, AR 72023",53 Bent Tree Dr,forRent,,3,1645,,1495,48,https://www.zillow.com/homedetails/53-Bent-Tree-Dr-Cabot-AR-72023/256157_zpid/,,10000
"120 Suda St, Cabot, AR 72023",120 Suda St,forRent,,3,1008,,995,144,https://www.zillow.com/homedetails/120-Suda-St-Cabot-AR-72023/213595966_zpid/,,120000
"15 Applewood Cv, Cabot, AR 72023",15 Applewood Cv,forRent,,3,1588,,1600,53,https://www.zillow.com/homedetails/15-Applewood-Cv-Cabot-AR-72023/35732370_zpid/,,226000
"17 Farrah St, Ward, AR 72176",17 Farrah St,forRent,,3,1563,,1250,91,https://www.zillow.com/homedetails/17-Farrah-St-Ward-AR-72176/52495486_zpid/,,
"509 E Elm St, Cabot, AR 72023",509 E Elm St,forRent,,3,1056,,1450,61,https://www.zillow.com/homedetails/509-E-Elm-St-Cabot-AR-72023/257181_zpid/,,185000
"21 Meadowlark Dr, Cabot, AR 72023",21 Meadowlark Dr,forRent,,3,1013,,1395,28,https://www.zillow.com/homedetails/21-Meadowlark-Dr-Cabot-AR-72023/255213_zpid/,,147900
"11 W Plaza Blvd, Cabot, AR 72023",11 W Plaza Blvd,forRent,,3,1487,,1525,15,https://www.zillow.com/homedetails/11-W-Plaza-Blvd-Cabot-AR-72023/256262_zpid/,,229049
"73 Timberwood Dr, Cabot, AR 72023",73 Timberwood Dr,forRent,,3,1230,,1450,21,https://www.zillow.com/homedetails/73-Timberwood-Dr-Cabot-AR-72023/52495438_zpid/,,161000
"22 Oakland Cir, Austin, AR 72007",22 Oakland Cir,forRent,,3,1328,,1575,14,https://www.zillow.com/homedetails/22-Oakland-Cir-Austin-AR-72007/251409763_zpid/,,176000
