listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"830 Gussy Ln, Benton, AR 72019",830 Gussy Ln,Benton,AR,,forRent,,,,,,https://www.zillow.com/b/830-gussy-ln-benton-ar-CqYvFB/,,,,,,,,,,,,,,
"14457 Skyline Dr, Alexander, AR 72002",14457 Skyline Dr,Alexander,AR,,forRent,3,1974,,1950,10,https://www.zillow.com/homedetails/14457-Skyline-Dr-Alexander-AR-72002/120792053_zpid/,,210000,2026-09-15T00:00:00.000Z,Listed for rent,2021-11-05T00:00:00.000Z,Sold,2015-12-17T00:00:00.000Z,Sold,,,,,,
"905 Pheasant Cv, Benton, AR 72019",905 Pheasant Cv,Benton,AR,,forRent,3,1415,,1595,21,https://www.zillow.com/homedetails/905-Pheasant-Cv-Benton-AR-72019/385747_zpid/,,158000,2026-09-03T00:00:00.000Z,Listed for rent,2022-05-16T00:00:00.000Z,Listing removed,2022-04-20T00:00:00.000Z,Price change,2022-04-14T00:00:00.000Z,Price change,2022-04-06T00:00:00.000Z,Price change,2022-03-22T00:00:00.000Z,Listed for rent
"1067 Huntington Dr, Benton, AR 72019",1067 Huntington Dr,Benton,AR,,forRent,4,1459,,1445,42,https://www.zillow.com/homedetails/1067-Huntington-Dr-Benton-AR-72019/2061767452_zpid/,,,2026-09-24T00:00:00.000Z,Price change,2026-09-17T00:00:00.000Z,Price change,2026-08-13T00:00:00.000Z,Listed for rent,2024-11-08T00:00:00.000Z,Listing removed,2024-11-05T00:00:00.000Z,Listed for rent,2024-03-22T00:00:00.000Z,Listing removed
"5137 Woodstream Dr, Alexander, AR 72002",5137 Woodstream Dr,Alexander,AR,,forRent,3,1460,,1600,6,https://www.zillow.com/homedetails/5137-Woodstream-Dr-Alexander-AR-72002/2078172293_zpid/,,167825,2026-09-18T00:00:00.000Z,Listed for rent,2026-04-27T00:00:00.000Z,Listing removed,2026-04-01T00:00:00.000Z,Listed for rent,2022-11-20T00:00:00.000Z,Listing removed,2022-10-04T00:00:00.000Z,Listed for rent,2020-12-04T00:00:00.000Z,Sold
"1294 Ridge Rd, Benton, AR 72015",1294 Ridge Rd,Benton,AR,,forRent,3,1108,,1120,18,https://www.zillow.com/homedetails/1294-Ridge-Rd-Benton-AR-72015/114182952_zpid/,,2000,2026-09-24T00:00:00.000Z,Price change,2026-09-06T00:00:00.000Z,Listed for rent,2022-08-12T00:00:00.000Z,Listing removed,2022-08-01T00:00:00.000Z,Price change,2022-07-27T00:00:00.000Z,Listed for rent,2013-02-01T00:00:00.000Z,Sold
"5096 Woodstream Dr, Alexander, AR 72002",5096 Woodstream Dr,Alexander,AR,,forRent,3,1594,,2600,20,https://www.zillow.com/homedetails/5096-Woodstream-Dr-Alexander-AR-72002/2077881150_zpid/,,180150,2026-09-05T00:00:00.000Z,Listed for rent,2024-10-14T00:00:00.000Z,Listing removed,2023-08-19T00:00:00.000Z,Listing removed,2023-07-23T00:00:00.000Z,Listed for rent,2023-03-09T00:00:00.000Z,Listing removed,2023-02-12T00:00:00.000Z,Listed for rent
"17024 Congo Ferndale Rd, Little Rock, AR 72210",17024 Congo Ferndale Rd,Little Rock,AR,,forRent,4,1590,,1675,106,https://www.zillow.com/homedetails/17024-Congo-Ferndale-Rd-Little-Rock-AR-72210/370120_zpid/,,279500,2026-06-10T00:00:00.000Z,Listed for rent,2020-09-11T00:00:00.000Z,Listing removed,2020-07-23T00:00:00.000Z,Listed for rent,2018-05-13T00:00:00.000Z,Listing removed,2018-01-31T00:00:00.000Z,Listed for rent,2017-03-29T00:00:00.000Z,Sold
"154 Roman Heights Ave, Alexander, AR 72002",154 Roman Heights Ave,Alexander,AR,,forRent,,,,,,https://www.zillow.com/b/154-roman-heights-ave-alexander-ar-Cdzchh/,,,,,,,,,,,,,,
"4056 Kings River Trl, Bauxite, AR 72011",4056 Kings River Trl,Bauxite,AR,,forRent,3,1480,,1345,58,https://www.zillow.com/homedetails/4056-Kings-River-Trl-Bauxite-AR-72011/2062403626_zpid/,,200660,2026-09-22T00:00:00.000Z,Price change,2026-08-27T00:00:00.000Z,Price change,2026-08-20T00:00:00.000Z,Price change,2026-08-13T00:00:00.000Z,Price change,2026-07-29T00:00:00.000Z,Listed for rent,2023-02-11T00:00:00.000Z,Listing removed
