listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,bdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"422 Janie Cir, Hickory, NC 28601",422 Janie Cir,Hickory,NC,,forRent,4,2800,,2500,23,https://www.zillow.com/homedetails/422-Janie-Cir-Hickory-NC-28601/460859494_zpid/,,,,2026-09-01T00:00:00.000Z,Listed for rent,2026-07-21T00:00:00.000Z,Listing removed,2026-03-05T00:00:00.000Z,Listed for rent,,,,,,
"1406 Mammoth Rd, Hickory, NC 28602",1406 Mammoth Rd,Hickory,NC,,forRent,3,1749,,2025,21,https://www.zillow.com/homedetails/1406-Mammoth-Rd-Hickory-NC-28602/460650036_zpid/,,,258000,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-06-02T00:00:00.000Z,Price change,2026-05-12T00:00:00.000Z,Price change,2026-02-24T00:00:00.000Z,Price change
"1411 Mammoth Rd, Hickory, NC 28602",1411 Mammoth Rd,Hickory,NC,,forRent,5,2368,,2255,21,https://www.zillow.com/homedetails/1411-Mammoth-Rd-Hickory-NC-28602/463736170_zpid/,,,292400,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-07-08T00:00:00.000Z,Listed for sale,,,,
"450 Brinkley Dr, Kings Mountain, NC 28086",450 Brinkley Dr,Kings Mountain,NC,,sold,5,2511,,325000,35,https://www.zillow.com/homedetails/450-Brinkley-Dr-Kings-Mountain-NC-28086/463353765_zpid/,,,325000,2026-09-18T00:00:00.000Z,Listing removed,2026-09-02T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-06-19T00:00:00.000Z,Listed for sale,,
"242 Colton Ct, Kings Mountain, NC 28086",242 Colton Ct,Kings Mountain,NC,,forRent,5,2511,,2455,6,https://www.zillow.com/homedetails/242-Colton-Ct-Kings-Mountain-NC-28086/462106908_zpid/,,,325000,2026-09-17T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-06-16T00:00:00.000Z,Price change,2026-05-01T00:00:00.000Z,Listed for sale,,
"456 Brinkley Dr, Kings Mountain, NC 28086",456 Brinkley Dr,Kings Mountain,NC,,forRent,3,2175,,2185,6,https://www.zillow.com/homedetails/456-Brinkley-Dr-Kings-Mountain-NC-28086/463854737_zpid/,,,295000,2026-09-22T00:00:00.000Z,Price change,2026-09-17T00:00:00.000Z,Listed for rent,2026-08-20T00:00:00.000Z,Sold,2026-07-16T00:00:00.000Z,Pending sale,2026-07-14T00:00:00.000Z,Listed for sale,,
"231 Brinkley Dr, Kings Mountain, NC 28086",231 Brinkley Dr,Kings Mountain,NC,,forRent,5,2400,,2395,69,https://www.zillow.com/homedetails/231-Brinkley-Dr-Kings-Mountain-NC-28086/349365612_zpid/,,,332000,2026-09-23T00:00:00.000Z,Price change,2026-08-07T00:00:00.000Z,Price change,2026-07-16T00:00:00.000Z,Listed for rent,2026-07-10T00:00:00.000Z,Sold,2026-05-14T00:00:00.000Z,Listed for sale,2026-05-10T00:00:00.000Z,Listing removed
"2290 Liberty Church Rd, Hickory, NC 28601",2290 Liberty Church Rd,Hickory,NC,,forRent,,,,,,https://www.zillow.com/apartments/hickory-nc/liberty-church-mhc/B5mtBZ/,,,,,,,,,,,,,,,
"1445 4th Street Dr NW, Hickory, NC 28601",1445 4th Street Dr NW,Hickory,NC,,forRent,,,,,,https://www.zillow.com/apartments/hickory-nc/the-townhomes-at-viewmont/5j8D4k/,,,,,,,,,,,,,,,
"3062 12th Ave SE, Hickory, NC 28602",3062 12th Ave SE,Hickory,NC,,forRent,,,,,,https://www.zillow.com/apartments/hickory-nc/redwood-hickory/ChZKXj/,,,,,,,,,,,,,,,
"1250 5th St NE, Hickory, NC 28601",1250 5th St NE,Hickory,NC,,forRent,,,,,,https://www.zillow.com/apartments/hickory-nc/hickory-trace-village-apartments/5XhwK5/,,,,,,,,,,,,,,,
"2778 2nd St NE, Hickory, NC 28601",2778 2nd St NE,Hickory,NC,,forRent,,,,,,https://www.zillow.com/apartments/hickory-nc/hawks-landing/CkWS4r/,,,,,,,,,,,,,,,
"2354 Mosteller Estate Ave SE, Hickory, NC 28602",2354 Mosteller Estate Ave SE,Hickory,NC,,forRent,,,,,,https://www.zillow.com/apartments/hickory-nc/the-estates-at-legends/CgHqZd/,,,,,,,,,,,,,,,
"330 3rd St NW, Hickory, NC 28601",330 3rd St NW,Hickory,NC,,other,,,,,,https://www.zillow.com/apartments/hickory-nc/330-triplex/9Pnvv8/,,,,,,,,,,,,,,,
"1009 22nd St NE, Hickory, NC 28601",1009 22nd St NE,Hickory,NC,,forRent,,,,,,https://www.zillow.com/apartments/hickory-nc/collins-management-llc-1009-22nd-street-northeast/9PnqKK/,,,,,,,,,,,,,,,
